region1,region2,exp_cap,log_exp_cap,perc_urban,perc_formal,perc_smp,perc_sma
Indonesia Barat,Jawa,1000949.1,13.816459,.56546837,.59385896,.47211596,.28299928
Indonesia Barat,Jawa,1001389.7,13.816899,.41186559,.37053385,.3412756,.16516811
Indonesia Barat,Jawa,1014902.7,13.830303,.22636287,.26441553,.29509875,.14521481
Indonesia Barat,Jawa,1015276.4,13.830671,.451718,.50201309,.45326421,.25463885
Indonesia Barat,Jawa,1015303.4,13.830698,.73967791,.5609467,.39803854,.23221071
Indonesia Barat,Jawa,1031741.7,13.846759,.5345431,.50839663,.41162798,.20395041
Indonesia Barat,Jawa,1032843.3,13.847826,.57508028,.40140855,.38189501,.1998616
Indonesia Barat,Jawa,1033771.4,13.848724,.42904902,.52317536,.40987435,.19681253
Indonesia Barat,Jawa,1036105.5,13.85098,.53423339,.25880644,.31119126,.1550359
Indonesia Barat,Jawa,1051389.9,13.865623,.32694781,.60624355,.36430308,.175469
Indonesia Barat,Jawa,1065185.5,13.878659,.43383002,.42121777,.34844247,.17389356
Indonesia Barat,Jawa,1067367.6,13.880706,.41196549,.31431213,.35469848,.17877704
Indonesia Barat,Jawa,1098748.1,13.909682,.95908773,.62079495,.45457861,.25873393
Indonesia Barat,Jawa,1106832.9,13.917013,1,.58672482,.48276144,.34495103
Indonesia Barat,Jawa,1122234.5,13.930832,1,.48528668,.37797838,.23155229
Indonesia Barat,Jawa,1126660.6,13.934769,1,.57945877,.51285326,.32659537
Indonesia Barat,Jawa,1139702.4,13.946278,.85358799,.62054747,.53405815,.35513392
Indonesia Barat,Jawa,1151054.5,13.956189,.5469119,.54222441,.49549156,.28420758
Indonesia Barat,Jawa,1212982.4,14.008593,.99274719,.61410719,.45186242,.28659272
Indonesia Barat,Jawa,1216393.6,14.011401,.908319,.61159438,.41378978,.24093626
Indonesia Barat,Jawa,1217313.8,14.012157,1,.57932258,.43964633,.26503718
Indonesia Barat,Jawa,1224815.1,14.0183,.71422845,.48929808,.41408584,.25491196
Indonesia Barat,Jawa,1228739.6,14.0215,.65607733,.53801763,.38040602,.20049752
Indonesia Barat,Jawa,1250018.9,14.03867,.96249646,.54875541,.50116563,.33642605
Indonesia Barat,Jawa,1253772.4,14.041668,.97051167,.61896038,.44467276,.2873686
Indonesia Barat,Jawa,1262102.6,14.048289,.90991026,.53801876,.55889124,.40218621
Indonesia Barat,Jawa,1263950.5,14.049752,.66215342,.56643611,.53943098,.34010923
Indonesia Barat,Jawa,1268639.4,14.053455,.99999994,.55057555,.56808323,.39130664
Indonesia Barat,Jawa,1308790,14.084614,1,.62052566,.60876763,.42746425
Indonesia Barat,Jawa,1342302.1,14.109897,.78334469,.61529326,.39849457,.23706095
Indonesia Barat,Jawa,1359892.6,14.122916,.85596073,.66566539,.41880992,.22388977
Indonesia Barat,Jawa,1373329.5,14.132749,1,.56716257,.5891825,.41119942
Indonesia Barat,Jawa,1443210.9,14.182381,1,.56786376,.64140999,.49070358
Indonesia Barat,Jawa,1495050.1,14.21767,1,.59432554,.51976097,.38492376
Indonesia Barat,Jawa,1514800.4,14.230794,.96951014,.71222991,.51682502,.32972825
Indonesia Barat,Jawa,1519650.8,14.233991,.91955155,.66522795,.4575586,.2760331
Indonesia Barat,Jawa,1557065.3,14.258313,1,.59054697,.51191509,.34696826
Indonesia Barat,Jawa,1575325.6,14.269973,.98814398,.65293735,.53040677,.3733981
Indonesia Barat,Jawa,1583571,14.275193,1,.61679339,.61381292,.45048127
Indonesia Barat,Jawa,1607032.4,14.2899,1,.63733071,.59809178,.43909696
Indonesia Barat,Jawa,1608906,14.291065,1,.64331692,.56457835,.40144685
Indonesia Barat,Jawa,1648489,14.31537,.99704432,.72554898,.59296042,.42037442
Indonesia Barat,Jawa,1728443.8,14.362732,.99507892,.57257658,.59894955,.47170842
Indonesia Barat,Jawa,1745570,14.372592,1,.59019566,.6483804,.5092907
Indonesia Barat,Jawa,1747986,14.373975,1,.67628306,.5466997,.39437884
Indonesia Barat,Jawa,1755952.3,14.378522,1,.69031107,.58553547,.39725998
Indonesia Barat,Jawa,1958914.6,14.487901,1,.67850405,.63238066,.49947244
Indonesia Barat,Jawa,1974339.1,14.495745,1,.6761378,.61353785,.44503075
Indonesia Barat,Jawa,1993542.1,14.505424,1,.74112982,.62927991,.50716251
Indonesia Barat,Jawa,1995226.8,14.506269,1,.65947908,.61000001,.42059392
Indonesia Barat,Jawa,2009108.9,14.513202,1,.62997854,.64482009,.47882688
Indonesia Barat,Jawa,2015134.9,14.516196,1,.74389505,.61251491,.4660427
Indonesia Barat,Jawa,2027599.1,14.522363,1,.69455773,.5380798,.38673836
Indonesia Barat,Jawa,2027984.1,14.522552,1,.71295398,.59891653,.44370824
Indonesia Barat,Jawa,2144621.8,14.578474,1,.65199012,.6052919,.42916122
Indonesia Barat,Jawa,2147104.3,14.579631,.99999994,.74565125,.61251956,.45116377
Indonesia Barat,Jawa,2630001.8,14.782495,.99538004,.71144676,.63906306,.50285971
Indonesia Barat,Kalimantan,842271.44,13.643858,.13656062,.30389652,.3105734,.16460437
Indonesia Barat,Kalimantan,890702.88,13.699766,.28191474,.48767012,.34878862,.19097027
Indonesia Barat,Kalimantan,890704.63,13.699768,.19222768,.27261594,.30448049,.17109391
Indonesia Barat,Kalimantan,941895.75,13.75565,.25881606,.35609037,.32106408,.16048399
Indonesia Barat,Kalimantan,944672.25,13.758594,.26952291,.34753746,.36230797,.18712673
Indonesia Barat,Kalimantan,950708.19,13.764962,.27370867,.36929655,.35894457,.19320403
Indonesia Barat,Kalimantan,954146.44,13.768573,.13849004,.2888639,.32938838,.17854644
Indonesia Barat,Kalimantan,955150.88,13.769625,.23502934,.3121466,.30072856,.14559537
Indonesia Barat,Kalimantan,961871.44,13.776636,.24534157,.28938091,.41455579,.24661952
Indonesia Barat,Kalimantan,963156.19,13.777971,.35571542,.51196235,.36217043,.21224259
Indonesia Barat,Kalimantan,964292.56,13.77915,.30407164,.32903236,.33381689,.20372637
Indonesia Barat,Kalimantan,964948.44,13.77983,.12868702,.26404542,.29871517,.15872915
Indonesia Barat,Kalimantan,973222.25,13.788368,.33363876,.4251686,.33156779,.18427874
Indonesia Barat,Kalimantan,989938.5,13.805398,.15720221,.24420214,.33551708,.21257995
Indonesia Barat,Kalimantan,1001418.3,13.816928,.20416363,.26972541,.3170436,.16654411
Indonesia Barat,Kalimantan,1026137,13.841311,.1392125,.34572202,.34337196,.19742216
Indonesia Barat,Kalimantan,1040727,13.85543,.30403861,.37331367,.42358068,.25189826
Indonesia Barat,Kalimantan,1045692.1,13.860189,.29445425,.40406093,.36873782,.19387521
Indonesia Barat,Kalimantan,1074937.9,13.887774,.15512481,.45923057,.26868507,.15282007
Indonesia Barat,Kalimantan,1104000.1,13.914451,.20883347,.36558643,.31183377,.17381413
Indonesia Barat,Kalimantan,1119734.6,13.928602,.28593534,.47295713,.31810862,.18032101
Indonesia Barat,Kalimantan,1126874.8,13.934958,.34168577,.43585688,.43369529,.25585011
Indonesia Barat,Kalimantan,1136052.5,13.94307,.31434169,.3787182,.46467113,.28193676
Indonesia Barat,Kalimantan,1183952.3,13.984368,.3013109,.40684333,.395861,.1942921
Indonesia Barat,Kalimantan,1184033,13.984437,.41328022,.60805506,.3958523,.21463202
Indonesia Barat,Kalimantan,1186434.6,13.986464,.36320001,.39627069,.3444103,.20576206
Indonesia Barat,Kalimantan,1212943.8,14.008561,.44268426,.49051458,.36330143,.22201106
Indonesia Barat,Kalimantan,1218125.3,14.012823,.29398593,.51469308,.32713404,.19871143
Indonesia Barat,Kalimantan,1223910.6,14.017562,.19016573,.44332749,.40130615,.21892248
Indonesia Barat,Kalimantan,1225550,14.0189,.38821313,.55904108,.47487593,.30520111
Indonesia Barat,Kalimantan,1243524,14.03346,.40989846,.56089228,.41284418,.25375798
Indonesia Barat,Kalimantan,1286258.3,14.067248,.19804715,.34372923,.37861145,.2341017
Indonesia Barat,Kalimantan,1287150.4,14.067942,.25404483,.70108414,.35308278,.19488488
Indonesia Barat,Kalimantan,1308149.4,14.084124,.42793605,.49753445,.41129827,.25890383
Indonesia Barat,Kalimantan,1312470.3,14.087421,.31718355,.35250235,.43253705,.26849768
Indonesia Barat,Kalimantan,1353619.8,14.118293,.74175233,.54415232,.40902054,.26300964
